score, window_size, features, neighbors,,,,,,,,,,,,
0.8376552426308743,30, ['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'h_variance', 's_variance', 'v_variance', 'entropy'],5,,,
0.8371536937581874,30, ['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'h_variance', 's_variance', 'v_variance', 'entropy'],10,,,
0.8346410761346206,30, ['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'h_variance', 's_variance', 'v_variance', 'entropy'],25,,,
0.8345945512874033,30, ['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'R_variance', 'G_variance', 'B_variance', 'entropy'],5,,,
0.8326657347938127,30, ['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'R_variance', 'G_variance', 'B_variance', 'entropy'],10,,,
0.831245851668428,30, ['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'R_variance', 'G_variance', 'B_variance', 'entropy'],25,,,
0.8308172498025563,30, ['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'h_variance', 's_variance', 'v_variance', 'entropy'],50,,,
0.8304201180002924,30, ['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'entropy'],25,,,,,,
0.8282370875717125,30, ['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'entropy'],25,,,,,,
0.8281428179460225,30, ['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'entropy'],50,,,,,,
0.8279433387749652,30, ['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'R_variance', 'G_variance', 'B_variance', 'entropy'],50,,,
0.8277486089165674,30, ['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'entropy'],10,,,,,,
0.8260360049514659,30, ['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'entropy'],5,,,,,,
0.8259330456859084,30, ['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'entropy'],10,,,,,,
0.8257491002994038,30, ['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'entropy'],50,,,,,,
0.8253097868174406,30, ['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'entropy'],5,,,,,,
0.8253030823326534,30, ['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'h_variance', 's_variance', 'v_variance', 'entropy'],100,,,
0.8242853041584814,30, ['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'entropy'],100,,,,,,
0.8242639373430065,30, ['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'R_variance', 'G_variance', 'B_variance'],5,,,,
0.8235995037226643,30, ['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'h_variance', 's_variance', 'v_variance'],5,,,,
0.8234823069048295,30, ['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'h_variance', 's_variance', 'v_variance'],10,,,,
0.8232353991159206,30, ['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'R_variance', 'G_variance', 'B_variance', 'entropy'],100,,,
0.8227379517784797,30, ['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'R_variance', 'G_variance', 'B_variance'],10,,,,
0.8224093483119826,30, ['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'entropy'],100,,,,,,
0.8218788718657755,30, ['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'R_variance', 'G_variance', 'B_variance'],25,,,,
0.8215122500864414,30, ['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'h_variance', 's_variance', 'v_variance'],25,,,,
0.8190847241441348,30, ['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'R_variance', 'G_variance', 'B_variance'],50,,,,
0.8183717951432652,30, ['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'h_variance', 's_variance', 'v_variance'],50,,,,
0.8173424287918128,30, ['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'entropy'],300,,,,,,
0.8166729098534401,30, ['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'entropy'],300,,,,,,
0.8161845826569922,30, ['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'h_variance', 's_variance', 'v_variance', 'entropy'],300,,,
0.8156019945476326,30, ['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'R_variance', 'G_variance', 'B_variance', 'entropy'],300,,,
0.8152903741844035,30, ['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'h_variance', 's_variance', 'v_variance'],100,,,,
0.8150136040374149,30, ['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf'],25,,,,,,,
0.8150029877152997,30, ['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'R_variance', 'G_variance', 'B_variance'],100,,,,
0.8146470833699487,30, ['h', 's', 'v', 'h_mf', 's_mf', 'v_mf'],25,,,,,,,
0.8145137377461408,30, ['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf'],50,,,,,,,
0.8142516796344095,30, ['h', 's', 'v', 'h_mf', 's_mf', 'v_mf'],50,,,,,,,
0.8133093691407475,30, ['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf'],100,,,,,,,
0.8125757704558055,30, ['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf'],10,,,,,,,
0.8120079434124321,30, ['h', 's', 'v', 'h_mf', 's_mf', 'v_mf'],100,,,,,,,
0.8118223354879138,30, ['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf'],5,,,,,,,
0.8116787251849391,30, ['h', 's', 'v', 'h_mf', 's_mf', 'v_mf'],10,,,,,,,
0.8095411742027537,30, ['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf'],300,,,,,,,
0.8093938130420104,30, ['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'R_variance', 'G_variance', 'B_variance'],300,,,,
0.8087483489966653,30, ['h', 's', 'v', 'h_mf', 's_mf', 'v_mf'],5,,,,,,,
0.8085153152458971,30, ['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'h_variance', 's_variance', 'v_variance'],300,,,,
0.8075912405472693,30, ['h', 's', 'v', 'h_mf', 's_mf', 'v_mf'],300,,,,,,,
0.803868805429486,30, ['L', 'a', 'b', 'L_mf', 'a_mf', 'b_mf', 'entropy'],5,,,,,,
0.8029826826161923,30, ['L', 'a', 'b', 'L_mf', 'a_mf', 'b_mf'],5,,,,,,,
0.8023954716708271,30, ['L', 'a', 'b', 'L_mf', 'a_mf', 'b_mf', 'entropy'],25,,,,,,
0.8023019850517168,30, ['L', 'a', 'b', 'L_mf', 'a_mf', 'b_mf'],25,,,,,,,
0.8020754381951585,30, ['L', 'a', 'b', 'L_mf', 'a_mf', 'b_mf', 'entropy'],10,,,,,,
0.8017375681460306,30, ['L', 'a', 'b', 'L_mf', 'a_mf', 'b_mf'],10,,,,,,,
0.8015431076136388,30, ['L', 'a', 'b', 'L_mf', 'a_mf', 'b_mf', 'entropy'],50,,,,,,
0.8010784816506107,30, ['L', 'a', 'b', 'L_mf', 'a_mf', 'b_mf'],50,,,,,,,
0.7985030105815523,30, ['L', 'a', 'b', 'L_mf', 'a_mf', 'b_mf', 'entropy'],100,,,,,,
0.7980877446855719,30, ['L', 'a', 'b', 'L_mf', 'a_mf', 'b_mf'],100,,,,,,,
0.7977610102491859,15, ['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'R_variance', 'G_variance', 'B_variance', 'entropy'],10,,,
0.7970100240227183,30, ['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'h_edge', 's_edge', 'v_edge', 'h_variance', 's_variance', 'v_variance', 'entropy'],5
0.7969234030084335,15, ['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'R_variance', 'G_variance', 'B_variance', 'entropy'],5,,,
